,artist,track,track_pop,duration_ms,album_name
9349,Train,"Hey, Soul Sister",86,216773,"Save Me, San Francisco (Golden Gate Edition)"
2849,Billie Eilish,when the party's over,86,196077,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?"
11499,Eminem,Love The Way You Lie,86,263373,Recovery
18799,Jhayco,No Me Conoce - Remix,86,309120,Famouz
42,Lil Uzi Vert,XO Tour Llif3,85,182706,Luv Is Rage 2
44,Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),85,258342,The Heist
649,Halsey,Without Me,85,201660,Manic
18849,Lady Gaga,Always Remember Us This Way,85,210200,A Star Is Born Soundtrack (Without Dialogue)
24549,Red Hot Chili Peppers,Can't Stop,85,269000,By the Way (Deluxe Edition)
799,Post Malone,Better Now,85,231266,beerbongs & bentleys
10949,Ariana Grande,positions,85,172324,Positions
10799,Pitbull,Timber (feat. Ke$ha),85,204160,Global Warming: Meltdown (Deluxe Version)
19449,Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),85,291293,Whitney
9649,MAGIC!,Rude,85,224840,Don't Kill the Magic
849,Post Malone,Congratulations,85,220293,Stoney (Deluxe)
5399,DNCE,Cake By The Ocean,85,219146,DNCE
13699,Kings of Leon,Sex on Fire,85,203346,Only By The Night
12999,Don Omar,Danza Kuduro,85,198773,Meet The Orphans
3899,Post Malone,Wow.,85,149546,Hollywood's Bleeding
2349,Lukas Graham,7 Years,85,237300,Lukas Graham
16649,Sam Smith,Unholy (feat. Kim Petras),85,156943,Gloria
16449,Pitbull,Time of Our Lives,85,229360,Globalization
17799,Coldplay,My Universe,85,226198,Music Of The Spheres
2599,Maroon 5,Sugar,85,235493,V
1799,Roddy Ricch,The Box,85,196652,Please Excuse Me for Being Antisocial
1749,BTS,Dynamite,85,199053,BE
19,Dua Lipa,Don't Start Now,85,183290,Future Nostalgia
4649,Danny Ocean,Me Rehúso,85,205714,54+1
1699,XXXTENTACION,Moonlight,85,135090,?
22399,Daft Punk,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],85,248413,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers]
12549,Tate McRae,you broke me first,85,169265,you broke me first
15249,J. Cole,MIDDLE CHILD,85,213593,MIDDLE CHILD
17499,Bruno Mars,Talking to the Moon,85,217866,Doo-Wops & Hooligans
22449,Swedish House Mafia,Don't You Worry Child - Radio Edit,85,212862,Don't You Worry Child
12349,Backstreet Boys,I Want It That Way,85,213306,Millennium
15749,Bruno Mars,Leave The Door Open,85,242096,An Evening With Silk Sonic
14999,The Weeknd,Save Your Tears (with Ariana Grande) (Remix),84,191013,Save Your Tears (Remix)
24849,Lil Baby,Yes Indeed,84,142273,Harder Than Ever
14349,Maroon 5,Animals,84,231013,V
22149,The Weeknd,Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,84,191013,After Hours (Deluxe)
14049,Taylor Swift,Blank Space,84,231826,1989
22949,Bruno Mars,Treasure,84,178560,Unorthodox Jukebox
8699,XXXTENTACION,Look At Me!,84,126345,Look At Me!
16549,Selena Gomez,Lose You To Love Me,84,206458,Rare
16699,Gym Class Heroes,Stereo Hearts (feat. Adam Levine),84,210960,The Papercut Chronicles II
16749,Daniel Caesar,Best Part (feat. H.E.R.),84,209831,Freudian
16949,Imagine Dragons,Natural,84,189466,Origins (Deluxe)
20149,Ariana Grande,Stuck with U (with Justin Bieber),84,228482,Stuck with U
18249,Fall Out Boy,Centuries,84,228360,American Beauty/American Psycho
12449,MKTO,Classic,84,175426,MKTO
17549,Doja Cat,Need to Know,84,210560,Planet Her
7949,Jonas Brothers,Sucker,84,181026,Happiness Begins
11349,Lil Tecca,Ransom,84,131240,We Love You Tecca
2549,Luis Fonsi,Despacito,84,229360,VIDA
299,Justin Bieber,Sorry,84,200786,Purpose (Deluxe)
5949,XXXTENTACION,Fuck Love (feat. Trippie Redd),84,146520,17
13,Shawn Mendes,Señorita,84,190799,Shawn Mendes (Deluxe)
5699,Khalid,Young Dumb & Broke,84,202546,American Teen
6499,Michael Jackson,Billie Jean,84,293826,Thriller 25 Super Deluxe Edition
4599,Doja Cat,Kiss Me More (feat. SZA),84,208666,Planet Her
4549,Powfu,death bed (coffee for your head),84,173333,death bed (coffee for your head)
32,XXXTENTACION,SAD!,84,166605,?
38,Vance Joy,Riptide,84,204280,Dream Your Life Away (Special Edition)
2799,Twenty One Pilots,Heathens,84,195920,Heathens
6949,Christina Perri,A Thousand Years,84,285120,A Thousand Years
2699,5 Seconds of Summer,Youngblood,84,203417,Youngblood (Deluxe)
7099,Martin Garrix,In the Name of Love,84,195706,In the Name of Love
47,Dua Lipa,New Rules,84,209320,Dua Lipa (Deluxe)
6199,Anne-Marie,2002,84,186986,Speak Your Mind (Deluxe)
1349,Ariana Grande,"thank u, next",84,207320,"thank u, next"
2149,Shawn Mendes,Stitches,84,206880,Handwritten
1549,24kGoldn,Mood (feat. iann dior),84,140533,El Dorado
20049,Joji,Glimpse of Us,83,233456,SMITHEREENS
5299,Marshmello,Silence,83,180822,Silence
2399,Jason Mraz,I'm Yours,83,242946,We Sing. We Dance. We Steal Things.
9949,Axwell /\ Ingrosso,More Than You Know,83,203000,More Than You Know
3699,Ava Max,Sweet but Psycho,83,187436,Heaven & Hell
4499,Dua Lipa,IDGAF,83,217946,Dua Lipa (Deluxe)
8149,Zara Larsson,Lush Life,83,201122,So Good
8099,Daddy Yankee,Con Calma,83,193226,Con Calma
5449,Zedd,The Middle,83,184732,The Middle
23699,Smash Mouth,All Star,83,200373,Astro Lounge
10649,Maroon 5,She Will Be Loved - Radio Mix,83,259453,Songs About Jane: 10th Anniversary Edition
1449,Lil Nas X,MONTERO (Call Me By Your Name),83,137704,MONTERO
23349,Kanye West,Gold Digger,83,207626,Late Registration
6349,NF,Let You Down,83,212120,Perception
7899,Bruno Mars,24K Magic,83,225983,24K Magic
19999,Kodaline,All I Want,83,305746,In A Perfect World (Expanded Edition)
19249,Ali Gatie,It's You,83,212606,YOU
19149,Lil Peep,Falling Down - Bonus Track,83,196400,"Come Over When You're Sober, Pt. 2"
9399,Ed Sheeran,Galway Girl,83,170826,÷ (Deluxe)
16099,Meek Mill,Going Bad (feat. Drake),83,180522,Championships
9249,Regard,Ride It,83,157605,Ride It
43,Camila Cabello,Havana (feat. Young Thug),83,217306,Camila
15799,Lorde,Royals,83,190185,Pure Heroine
19099,Kendrick Lamar,DNA.,83,185946,DAMN.
8499,Ed Sheeran,Castle on the Hill,83,261153,÷ (Deluxe)
17399,The Fray,How to Save a Life,83,262533,How To Save A Life
2949,Post Malone,I Fall Apart,83,223346,Stoney (Deluxe)
15449,Calum Scott,Dancing On My Own,83,260285,Only Human (Deluxe)
12049,Robin Schulz,Sugar (feat. Francesco Yates),82,219043,Sugar
2449,Nirvana,Smells Like Teen Spirit,82,301920,Nevermind (Remastered)
7849,Selena Gomez,Wolves,82,197993,Wolves
16149,Tiësto,The Business,82,164000,The Business
11899,Post Malone,Goodbyes (feat. Young Thug),82,174853,Hollywood's Bleeding
21899,Katy Perry,Roar,82,223546,PRISM
19699,Calvin Harris,How Deep Is Your Love,82,212640,How Deep Is Your Love
1499,Bad Bunny,DÁKITI,82,205090,EL ÚLTIMO TOUR DEL MUNDO
1999,Sia,Cheap Thrills,82,211666,This Is Acting
3249,benny blanco,Eastside (with Halsey & Khalid),82,170769,FRIENDS KEEP SECRETS
21849,Coldplay,Adventure of a Lifetime,82,263786,A Head Full of Dreams
4749,ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit,82,239000,Icarus Falls
549,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),82,212352,MONTERO
3799,Cardi B,I Like It,82,253390,Invasion of Privacy
22649,Miley Cyrus,We Can't Stop,82,231240,Bangerz (Deluxe Version)
14299,Joel Corry,Head & Heart (feat. MNEK),82,166028,Head & Heart (feat. MNEK)
18699,Pop Smoke,For The Night (feat. Lil Baby & DaBaby),82,190476,Shoot For The Stars Aim For The Moon
21499,R. City,Locked Away (feat. Adam Levine),82,227480,What Dreams Are Made Of
9849,Jessie J,Bang Bang,82,199386,Sweet Talker (Deluxe Version)
24499,Red Hot Chili Peppers,Snow (Hey Oh),82,334666,Stadium Arcadium
10599,Portugal. The Man,Feel It Still,82,163253,Woodstock
9449,Cardi B,WAP (feat. Megan Thee Stallion),82,187541,WAP (feat. Megan Thee Stallion)
10849,Drake,Nice For What,82,210746,Scorpion
6699,Dynoro,In My Mind,82,184560,In My Mind
22799,Meghan Trainor,Like I'm Gonna Lose You (feat. John Legend),81,225053,Title (Deluxe)
10349,Martin Garrix,Scared to Be Lonely,81,220883,Scared to Be Lonely
16999,Post Malone,White Iverson,81,256533,Stoney (Deluxe)
3649,Justin Bieber,What Do You Mean?,81,205680,Purpose (Deluxe)
5099,Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",81,252534,Delirium (Deluxe)
18999,Rihanna,FourFiveSeconds,81,188238,FourFiveSeconds
2649,DaBaby,ROCKSTAR (feat. Roddy Ricch),81,181733,BLAME IT ON BABY
3949,Dean Lewis,Be Alright,81,196493,A Place We Knew
13399,Maluma,Hawái,81,199112,PAPI JUANCHO
10249,blackbear,hot girl bummer,81,188343,everything means nothing
3999,Trevor Daniel,Falling,81,159381,Nicotine
24449,George Ezra,Shotgun,81,201287,Staying at Tamara's
23899,Shakira,Chantaje (feat. Maluma),81,195840,El Dorado
7199,XXXTENTACION,changes,81,121886,?
13249,BTS,Butter,81,164952,Proof
4299,Post Malone,Psycho (feat. Ty Dolla $ign),81,221440,beerbongs & bentleys
23649,Post Malone,Go Flex,81,179613,Stoney (Deluxe)
12249,Doja Cat,Say So,81,237893,Hot Pink
449,Eminem,Lose Yourself,81,326466,Curtain Call: The Hits (Deluxe Edition)
5799,Marshmello,FRIENDS,81,202620,FRIENDS
9599,Khalid,Better,81,229320,Suncity
19499,Drake,Nonstop,81,238614,Scorpion
24949,Ariana Grande,God is a woman,81,197546,Sweetener
3299,Lil Nas X,Old Town Road - Remix,81,157066,7 EP
24249,G-Eazy,Him & I (with Halsey),81,268866,The Beautiful & Damned
5899,gnash,"i hate u, i love u (feat. olivia o'brien)",81,251033,us
8249,Drake,Hotline Bling,81,267066,Views
9099,ZAYN,PILLOWTALK,81,202746,Mind Of Mine (Deluxe Edition)
23499,Kanye West,POWER,81,292093,My Beautiful Dark Twisted Fantasy
12099,Miley Cyrus,Party In The U.S.A.,81,202066,The Time Of Our Lives
9049,Lord Huron,The Night We Met,81,208211,Strange Trails
14849,Topic,Breaking Me,80,166793,Breaking Me
13949,Rauw Alejandro,Todo De Ti,80,199604,VICE VERSA
8999,G-Eazy,"Me, Myself & I",80,251466,When It's Dark Out
7049,Clean Bandit,Symphony (feat. Zara Larsson),80,212733,What Is Love? (Deluxe Edition)
14699,Metallica,Enter Sandman (Remastered),80,331560,Metallica (Remastered)
15949,Dua Lipa,Break My Heart,80,221820,Future Nostalgia
13599,Katy Perry,Dark Horse,80,215672,PRISM (Deluxe)
6749,Khalid,Location,80,219080,American Teen
20849,Flo Rida,My House,80,192190,My House
24149,Zion & Lennox,Otra vez (feat. J Balvin),80,209453,Motivan2
24699,Ozuna,Vaina Loca,80,176133,Aura
16799,Loud Luxury,Body,80,163216,Body
7699,Ariana Grande,no tears left to cry,80,205920,Sweetener
18149,Keane,Somewhere Only We Know,80,236160,Hopes And Fears
18349,Nirvana,Come As You Are,80,218920,Nevermind (Remastered)
17249,Taylor Swift,Shake It Off,80,219200,1989
8299,Bad Bunny,Callaita,80,250533,Callaita
10299,Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",80,207333,"Young, Wild & Free (feat. Bruno Mars)"
21599,Ariana Grande,Break Free,80,214840,My Everything (Deluxe)
17049,Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",80,223413,Funk Wav Bounces Vol.1
12949,Nio Garcia,Te Boté - Remix,80,417920,Te Boté (Remix)
4699,Arizona Zervas,ROXANNE,80,163636,ROXANNE
24749,Lil Nas X,Old Town Road,80,113000,7 EP
21399,Nicky Jam,El Perdón (with Enrique Iglesias),79,205906,Fénix
