,artist,track,track_pop,duration_ms,album_nm,album_dt
38249,Anuel AA,Mas Rica Que Ayer,88,199148,Mas Rica Que Ayer,2023-03-02
8799,Linkin Park,Numb,88,185586,Meteora,2003-03-24
7999,The White Stripes,Seven Nation Army,88,232106,Elephant,2003-04-01
46199,The Weeknd,Die For You (with Ariana Grande) - Remix,88,232857,Starboy (Deluxe),2023-03-14
25249,Future,WAIT FOR U (feat. Drake & Tems),88,189893,I NEVER LIKED YOU,2022-04-29
6249,Harry Styles,Adore You,88,207133,Fine Line,2019-12-13
18049,Coldplay,Paradise,88,278719,Mylo Xyloto,2011-10-24
29549,Grupo Frontera,No Se Va - En Vivo,88,194019,No Se Va (En Vivo),2022-04-28
15399,The Neighbourhood,Daddy Issues,88,260173,Wiped Out!,2015-10-30
30249,El Chachito,En Paris,88,162795,En Paris,2022-12-24
30499,Taylor Swift,Snow On The Beach (feat. More Lana Del Rey),88,229942,Midnights (The Til Dawn Edition),2023-05-26
2099,Eminem,Till I Collapse,88,297786,The Eminem Show,2002-05-26
30549,Taylor Swift,Midnight Rain,88,174782,Midnights,2022-10-21
1949,Bruno Mars,That's What I Like,88,206693,24K Magic,2016-11-17
12899,Olivia Rodrigo,deja vu,88,215506,SOUR,2021-05-21
10999,AC/DC,Highway to Hell,88,208400,Highway to Hell,1979-07-27
31,John Legend,All of Me,88,269560,Love In The Future (Expanded Edition),2013-08-30
17599,Billie Eilish,Happier Than Ever,88,298899,Happier Than Ever,2021-07-30
31499,Junior H,El Tsurito,88,194518,El Tsurito,2023-04-07
31749,Ñengo Flow,Gato de Noche,88,227013,Gato de Noche,2022-12-22
249,Olivia Rodrigo,drivers license,88,242013,SOUR,2021-05-21
49049,Central Cee,Doja,88,97392,Doja,2022-07-21
34199,Billie Eilish,hotline (edit),88,60719,hotline (edit),2023-05-09
45,Kendrick Lamar,HUMBLE.,88,177000,DAMN.,2017-04-14
35499,Bad Bunny,Neverita,88,173119,Un Verano Sin Ti,2022-05-06
39,Twenty One Pilots,Stressed Out,88,202333,Blurryface,2015-05-15
47499,Cartel De Santa,Shorty Party,88,265000,Shorty Party,2023-03-04
10749,Fleetwood Mac,Dreams - 2004 Remaster,88,257800,Rumours (Super Deluxe),1977-02-04
28449,Chino Pacas,Dijeron Que No La Iba Lograr,88,113019,Dijeron Que No La Iba Lograr,2023-03-14
4399,Ed Sheeran,Bad Habits,88,230746,=,2021-10-29
23,Drake,God's Plan,88,198973,Scorpion,2018-06-29
18949,Kate Bush,Running Up That Hill (A Deal With God),88,298933,Hounds Of Love,1985-09-16
25046,Lil Mabu,MATHEMATICAL DISRESPECT,88,88304,MATHEMATICAL DISRESPECT,2023-05-05
35,Travis Scott,goosebumps,88,243836,Birds In The Trap Sing McKnight,2016-09-16
